                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9136,                 2.8023,                 1.4904,                0.00657,                0.50624,                0.12465,                 0.0605,                 1.4101,                 3.2851,                 1.2245,             0.00054304,             0.00054304,             0.00054304
                      2,                 1.5856,                 1.6535,                 1.2498,                0.67892,                0.36363,                0.52268,                0.25488,                 1.4813,                 2.3101,                 1.3206,             0.00098993,             0.00098993,             0.00098993
                      3,                 1.4965,                 1.4333,                 1.2147,                0.69448,                0.64957,                0.67785,                0.33599,                 1.4795,                 1.5409,                 1.3053,              0.0013268,              0.0013268,              0.0013268
                      4,                 1.4604,                  1.325,                  1.203,                0.76738,                0.61118,                0.64925,                0.33145,                 1.5391,                   1.49,                 1.4405,              0.0011719,              0.0011719,              0.0011719
                      5,                 1.4641,                 1.2239,                 1.2018,                0.69776,                0.63323,                0.66819,                 0.3422,                 1.4287,                 1.2786,                 1.3597,              0.0011719,              0.0011719,              0.0011719
                      6,                 1.3991,                 1.1389,                 1.1808,                0.74235,                 0.6923,                0.72733,                0.40044,                  1.368,                 1.1469,                 1.3277,              0.0010069,              0.0010069,              0.0010069
                      7,                 1.3824,                 1.1025,                  1.169,                0.81964,                0.70882,                0.75858,                0.40395,                 1.4712,                 1.0801,                 1.3938,             0.00084184,             0.00084184,             0.00084184
                      8,                 1.3286,                0.99982,                 1.1376,                0.73253,                0.78155,                0.77528,                0.42052,                 1.2871,                0.96465,                 1.2407,              0.0006768,              0.0006768,              0.0006768
                      9,                 1.3077,                0.94941,                 1.1371,                0.71726,                0.71491,                0.77016,                0.43519,                  1.286,                 1.0343,                  1.259,             0.00051177,             0.00051177,             0.00051177
                     10,                 1.3272,                0.92613,                 1.1386,                0.84555,                0.76015,                0.80593,                0.45106,                  1.307,                0.91629,                 1.2565,             0.00034674,             0.00034674,             0.00034674
